constraint_type	word1	word2	headline	generated_joke
headline	-	-	Ryanair to cut 1 million more passenger seats in Spain	Ryanair to cut 1 million more passenger seats in Spain And here I was thinking my life choices were questionable.
headline	-	-	Looted by Nazis, a 17th-Century Painting Resurfaces. But Not for Long.	Looted by Nazis, a 17th-Century Painting Resurfaces. But Not for Long. Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Analysis: Spotlight on childcare reforms reveals how far there is to go	Analysis: Spotlight on childcare reforms reveals how far there is to go Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Do body wipes actually work? Experts weigh in	Do body wipes actually work? Experts weigh in And here I was thinking my life choices were questionable.
headline	-	-	Is Meghan’s Netflix series another ‘exercise in narcissism’?	Is Meghan’s Netflix series another ‘exercise in narcissism’? Honestly, that already sounds like the setup to a bad joke.
headline	-	-	These colleges are welcoming pets in dorms to reduce students’ stress and anxiety	These colleges are welcoming pets in dorms to reduce students’ stress and anxiety And here I was thinking my life choices were questionable.
headline	-	-	Taipei City council in the dog house over Chinese-made patrol robot	Taipei City council in the dog house over Chinese-made patrol robot And here I was thinking my life choices were questionable.
headline	-	-	BOM forecasts wet spring as severe storm barrels towards nation's south	BOM forecasts wet spring as severe storm barrels towards nation's south And here I was thinking my life choices were questionable.
headline	-	-	Nonalcoholic beer and mocktails can help people stay sober or drink less, but are not for everyone	Nonalcoholic beer and mocktails can help people stay sober or drink less, but are not for everyone Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Massachusetts cranberry bogs are being given a second life as vibrant wetlands	Massachusetts cranberry bogs are being given a second life as vibrant wetlands And here I was thinking my life choices were questionable.
headline	-	-	U.S. Open foes Jelena Ostapenko and Taylor Townsend get into heated post-match row	U.S. Open foes Jelena Ostapenko and Taylor Townsend get into heated post-match row And here I was thinking my life choices were questionable.
headline	-	-	Humans inhale as much as 68,000 microplastic particles daily, study finds	Humans inhale as much as 68,000 microplastic particles daily, study finds And here I was thinking my life choices were questionable.
headline	-	-	SpaceX deploys first mock Starlink satellites on 10th test flight	SpaceX deploys first mock Starlink satellites on 10th test flight And here I was thinking my life choices were questionable.
headline	-	-	Love Island USA' winner Amaya reveals she and Bryan broke up	Love Island USA' winner Amaya reveals she and Bryan broke up And here I was thinking my life choices were questionable.
headline	-	-	He paid triple the going rate for solar panels. Now he warns people to research door-to-door contracts	He paid triple the going rate for solar panels. Now he warns people to research door-to-door contracts And here I was thinking my life choices were questionable.
headline	-	-	Why Arthur Ashe Stadium and the US Open are so unique and sometimes divisive	Why Arthur Ashe Stadium and the US Open are so unique and sometimes divisive And here I was thinking my life choices were questionable.
headline	-	-	Blockbuster Canadian romance author Carley Fortune announces 5th novel	Blockbuster Canadian romance author Carley Fortune announces 5th novel And here I was thinking my life choices were questionable.
headline	-	-	Nvidia Sales Jump 56%, a Sign the A.I. Boom Isn’t Slowing Down	Nvidia Sales Jump 56%, a Sign the A.I. Boom Isn’t Slowing Down And here I was thinking my life choices were questionable.
headline	-	-	Furniture, architecture, fashion: 3 designers explain how AI is transforming everything	Furniture, architecture, fashion: 3 designers explain how AI is transforming everything Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Italian apples get their own dedicated cable car ride	Italian apples get their own dedicated cable car ride And here I was thinking my life choices were questionable.
headline	-	-	Denzel Washington reveals he doesn’t watch movies anymore	Denzel Washington reveals he doesn’t watch movies anymore And here I was thinking my life choices were questionable.
headline	-	-	How are the new students feeling on the first day of school?	How are the new students feeling on the first day of school? And here I was thinking my life choices were questionable.
headline	-	-	Alcaraz Vanquishes Demons of Last Year	Alcaraz Vanquishes Demons of Last Year And here I was thinking my life choices were questionable.
headline	-	-	Why eradicating the Asian hornet is taken so seriously	Why eradicating the Asian hornet is taken so seriously And here I was thinking my life choices were questionable.
headline	-	-	The untold history of one of Australia's most iconic photos	The untold history of one of Australia's most iconic photos And here I was thinking my life choices were questionable.
headline	-	-	Two Pakistan towns face flood risk if river barrage crumbles, officials say	Two Pakistan towns face flood risk if river barrage crumbles, officials say And here I was thinking my life choices were questionable.
headline	-	-	Rocky waters ahead for British artist stopping sales to customers across the pond	Rocky waters ahead for British artist stopping sales to customers across the pond And here I was thinking my life choices were questionable.
headline	-	-	Watch: Arizona ‘haboob’ dust storm causes disruption	Watch: Arizona ‘haboob’ dust storm causes disruption And here I was thinking my life choices were questionable.
headline	-	-	From boom to ban: The rise and fall of India's betting apps	From boom to ban: The rise and fall of India's betting apps And here I was thinking my life choices were questionable.
headline	-	-	Why the egusi? A Nigerian melon seed's journey into space	Why the egusi? A Nigerian melon seed's journey into space And here I was thinking my life choices were questionable.
headline	-	-	Does removing mustache hair lead to thicker hair growth?	Does removing mustache hair lead to thicker hair growth? And here I was thinking my life choices were questionable.
headline	-	-	Coach Hugo Broos announces final squad for Bafana Bafana's World Cup qualifiers	Coach Hugo Broos announces final squad for Bafana Bafana's World Cup qualifiers Honestly, that already sounds like the setup to a bad joke.
headline	-	-	I found weed in the 3rd grade': Jacob Balshin | New Wave Of Standup	I found weed in the 3rd grade': Jacob Balshin | New Wave Of Standup And here I was thinking my life choices were questionable.
headline	-	-	Venus Williams’ fuzzy tennis racket case was a major serve	Venus Williams’ fuzzy tennis racket case was a major serve And here I was thinking my life choices were questionable.
headline	-	-	These British rock stars never conquered America. They’re now playing to a sold-out Chicago stadium	These British rock stars never conquered America. They’re now playing to a sold-out Chicago stadium And here I was thinking my life choices were questionable.
headline	-	-	How chatbots are making us speak like management consultants	How chatbots are making us speak like management consultants And here I was thinking my life choices were questionable.
headline	-	-	Alcaraz cruises into third round with commanding win over Bellucci	Alcaraz cruises into third round with commanding win over Bellucci And here I was thinking my life choices were questionable.
headline	-	-	Most people in Denmark and the Netherlands have a doctor. Here's what Canada can learn	Most people in Denmark and the Netherlands have a doctor. Here's what Canada can learn And here I was thinking my life choices were questionable.
headline	-	-	Calling rental income 'unearned' is the final insult from this Government	Calling rental income 'unearned' is the final insult from this Government Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Russian and Chinese submarines conduct first-ever joint patrol in Pacific	Russian and Chinese submarines conduct first-ever joint patrol in Pacific And here I was thinking my life choices were questionable.
headline	-	-	How will Shamrock Rovers approach Santa Clara mission?	How will Shamrock Rovers approach Santa Clara mission? And here I was thinking my life choices were questionable.
headline	-	-	Former elite athlete takes home $100,000 landscape art prize	Former elite athlete takes home $100,000 landscape art prize And here I was thinking my life choices were questionable.
headline	-	-	Taylor Swift’s romantic travails were the soundtrack to mine. What does her engagement mean for fans’ love lives?	Taylor Swift’s romantic travails were the soundtrack to mine. What does her engagement mean for fans’ love lives? And here I was thinking my life choices were questionable.
headline	-	-	UK beef farmers scramble to feed hungry herds	UK beef farmers scramble to feed hungry herds And here I was thinking my life choices were questionable.
headline	-	-	Grand jury declines to indict man who threw a sandwich at federal officer in the capital	Grand jury declines to indict man who threw a sandwich at federal officer in the capital And here I was thinking my life choices were questionable.
headline	-	-	In under three hours, China’s bullet trains whisk travelers back 1,200 years in time	In under three hours, China’s bullet trains whisk travelers back 1,200 years in time And here I was thinking my life choices were questionable.
headline	-	-	The buses, trams and trains that have kept London running for 200 years	The buses, trams and trains that have kept London running for 200 years And here I was thinking my life choices were questionable.
headline	-	-	The Deion Sanders Effect: Why colleges are hiring former NFL stars as coaches	The Deion Sanders Effect: Why colleges are hiring former NFL stars as coaches And here I was thinking my life choices were questionable.
